id,name,title,imdb_score,tmdb_score,imdb_votes,tmdb_popularity,nor_imdb_vote,nor_tmdb_popularity,weighted_average_popularity
tm148270,Nancy Meyers,Something's Gotta Give,6.7,6.6,121364.0,14.619,0.77,0.59,0.68
tm89036,Danny Leiner,Harold & Kumar Go to White Castle,7.0,6.5,194695.0,15.026,0.81,0.6,0.7
tm46436,Steve Beck,Thir13en Ghosts,5.6,6.2,87083.0,50.592,0.75,0.69,0.72
tm150260,Phil Lord,Cloudy with a Chance of Meatballs,6.9,6.6,229274.0,58.945,0.82,0.71,0.76
tm150260,Christopher Miller,Cloudy with a Chance of Meatballs,6.9,6.6,229274.0,58.945,0.82,0.71,0.76
tm79895,Rob Zombie,Halloween,6.0,6.2,119606.0,38.491,0.77,0.67,0.72
tm116324,Jeff Tremaine,Jackass: The Movie,6.6,6.3,94423.0,25.23,0.76,0.64,0.7
tm39828,Kent Alterman,Semi-Pro,5.8,5.6,82159.0,12.789,0.74,0.58,0.66
tm23935,Alejandro Agresti,The Lake House,6.8,7.0,149070.0,16.31,0.79,0.6,0.7
tm78067,Gregory Wilson,The Girl Next Door,6.5,6.7,26293.0,13.131,0.66,0.59,0.62
tm95252,Allen Hughes,The Book of Eli,6.8,6.8,314920.0,30.476,0.85,0.65,0.75
tm95252,Albert Hughes,The Book of Eli,6.8,6.8,314920.0,30.476,0.85,0.65,0.75
tm32919,Edward Zwick,Blood Diamond,8.0,7.5,541547.0,47.39,0.89,0.69,0.79
tm169949,Mark Waters,Just Like Heaven,6.7,6.9,108029.0,17.486,0.77,0.61,0.69
tm30205,Wilson Yip,Ip Man,8.0,7.7,222372.0,21.074,0.82,0.62,0.72
tm40009,Robert Luketic,21,6.8,6.7,249016.0,27.013,0.83,0.64,0.74
tm141390,Marcus Nispel,Friday the 13th,5.5,5.8,106970.0,45.551,0.76,0.69,0.72
tm94606,Matt Reeves,Let Me In,7.1,6.8,121008.0,22.791,0.77,0.63,0.7
tm102337,Samuel Bayer,A Nightmare on Elm Street,5.2,5.5,99894.0,39.672,0.76,0.67,0.72
tm159901,John Pasquin,Miss Congeniality 2: Armed and Fabulous,5.1,5.7,74637.0,21.495,0.74,0.63,0.68
tm74780,Rob Reiner,The Bucket List,7.4,7.2,244028.0,22.0,0.83,0.63,0.73
tm24088,David Zucker,Scary Movie 4,5.1,5.5,120997.0,83.018,0.77,0.73,0.75
tm111600,Roger Kumble,The Sweetest Thing,5.1,5.5,58884.0,10.625,0.72,0.57,0.64
tm88045,James L. Brooks,How Do You Know,5.4,5.251,50383.0,9.889,0.71,0.56,0.64
tm78919,Steve Bendelack,Mr. Bean's Holiday,6.4,6.3,125160.0,32.512,0.78,0.66,0.72
tm173066,Sydney Pollack,The Interpreter,6.4,6.299,106781.0,12.694,0.76,0.58,0.67
tm118637,Nick Cassavetes,John Q,7.0,7.121,133215.0,32.229,0.78,0.66,0.72
tm142564,Rajkumar Hirani,3 Idiots,8.4,8.0,390739.0,44.999,0.86,0.68,0.77
tm57190,Simon Purse,The One,5.9,6.1,92007.0,21.223,0.75,0.62,0.68
tm137362,Marcus Nispel,The Texas Chainsaw Massacre,6.2,6.2,141736.0,80.47,0.79,0.73,0.76
tm148379,Bo Welch,The Cat in the Hat,4.0,5.3,82684.0,66.8,0.75,0.72,0.74
tm137342,Antoine Fuqua,Tears of the Sun,6.6,6.797,121957.0,43.254,0.77,0.68,0.73
tm90864,Todd Phillips,Due Date,6.5,6.3,341390.0,36.06,0.85,0.67,0.76
tm32144,McG,We Are Marshall,7.0,6.9,61345.0,13.173,0.72,0.59,0.66
tm141707,Ben Ramsey,Blood and Bone,6.7,7.4,33051.0,33.787,0.67,0.66,0.66
tm150214,Ronny Yu,Freddy vs. Jason,5.7,6.0,118925.0,65.747,0.77,0.72,0.74
tm81030,Gábor Csupó,The Golden Compass,6.1,6.0,187485.0,20.255,0.81,0.62,0.72
tm147211,Grant Heslov,The Men Who Stare at Goats,6.2,6.0,132177.0,19.022,0.78,0.62,0.7
tm78671,Renny Harlin,Cleaner,6.1,6.0,42285.0,11.509,0.69,0.58,0.64
tm27268,Gil Kenan,Monster House,6.6,6.6,117008.0,51.891,0.77,0.7,0.74
tm86189,Mark Helfrich,Good Luck Chuck,5.6,5.9,90212.0,30.423,0.75,0.65,0.7
