,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
347,Paresh Mokashi,['tm143510'],1,7.7,4.6000000000000005,7.7,4.6000000000000005,0.0,0.77
348,Paul M. Green,['tm308960'],1,6.5,3.0,6.5,3.0,0.0,0.65
349,Greg Barker,"['tm144835', 'tm497383']",2,14.2,10.1,7.1,5.05,1.7243743076436346,0.71
350,Randa Chahal Sabbag,['tm135795'],1,5.7,3.9,5.7,3.9,0.0,0.57
351,Dante Lam,['tm34924'],1,6.75,4.8,6.75,4.8,0.0,0.68
352,Raj Kumar Gupta,"['tm49865', 'tm159593', 'tm183805']",3,19.85,16.0,6.616666666666667,5.333333333333333,2.9478373494331396,0.66
353,Rajiv Chilaka,"['tm598375', 'tm481620', 'tm175364']",3,21.45,9.6,7.15,3.2,2.9478373494331396,0.72
354,Eduardo Pinto,['tm96052'],1,5.3,3.6,5.3,3.6,0.0,0.53
355,Benny Chan,['tm62369'],1,6.449999999999999,4.9,6.449999999999999,4.9,0.0,0.64
356,Anil V. Kumar,['tm254052'],1,4.25,4.2,4.25,4.2,0.0,0.43
357,Cathy Garcia-Molina,"['tm100106', 'tm28024', 'tm166723', 'tm142852', 'tm169669', 'tm232710', 'tm430059', 'tm353791', 'tm307698', 'tm445852', 'tm368697', 'tm683841']",12,85.95,48.3,7.1625000000000005,4.025,7.960457061029011,0.72
358,Santram Varma,['tm85689'],1,5.3,4.1,5.3,4.1,0.0,0.53
359,Michael Simon,"['tm38454', 'tm181856', 'tm225675', 'tm374226', 'tm348175']",5,34.0,22.300000000000004,6.8,4.460000000000001,4.672211657076773,0.68
360,David Dhawan,"['tm42831', 'tm175753', 'tm321073']",3,15.0,15.1,5.0,5.033333333333334,2.9478373494331396,0.5
361,Everardo González,"['tm216753', 'tm835357']",2,14.0,8.5,7.0,4.25,1.7243743076436346,0.7
362,Puneet Sira,['tm142153'],1,5.9,3.8,5.9,3.8,0.0,0.59
363,Felix Chong,['tm92671'],1,6.0,4.1,6.0,4.1,0.0,0.6
364,Sasi Shankar,['tm88343'],1,6.5,4.699999999999999,6.5,4.699999999999999,0.0,0.65
365,Deepti Naval,['tm628693'],1,6.35,3.4000000000000004,6.35,3.4000000000000004,0.0,0.64
366,Najwa Najjar,"['tm155774', 'tm157681']",2,12.25,7.5,6.125,3.75,1.7243743076436346,0.61
367,P. Vasu,['tm46867'],1,5.55,4.0,5.55,4.0,0.0,0.56
368,Vivek Agnihotri,['tm75544'],1,5.15,5.0,5.15,5.0,0.0,0.52
369,Indrajit Nattooji,['tm144263'],1,5.1,3.6,5.1,3.6,0.0,0.51
370,Michel Kammoun,['tm21155'],1,6.1,3.4000000000000004,6.1,3.4000000000000004,0.0,0.61
371,Partho Mitra,['tm311516'],1,6.35,3.6,6.35,3.6,0.0,0.64
372,Umesh Shukla,"['tm130999', 'tm47171']",2,12.75,10.5,6.375,5.25,1.7243743076436346,0.64
373,Newton I. Aduaka,['tm85563'],1,6.050000000000001,3.8,6.050000000000001,3.8,0.0,0.61
374,Maryo J. de los Reyes,"['tm76399', 'tm272666']",2,12.0,7.0,6.0,3.5,1.7243743076436346,0.6
375,Mahmood Ali-Balogun,['tm639940'],1,6.4,2.6,6.4,2.6,0.0,0.64
376,Todd S. Yellin,['tm252951'],1,6.55,3.2,6.55,3.2,0.0,0.66
377,Nima Nourizadeh,"['tm68272', 'tm208622']",2,12.8,14.8,6.4,7.4,1.7243743076436346,0.64
378,Marc Webb,['tm44730'],1,6.800000000000001,8.4,6.800000000000001,8.4,0.0,0.68
379,Brad Bird,['tm166978'],1,7.2,8.0,7.2,8.0,0.0,0.72
380,J.C. Chandor,"['tm170442', 'tm244207']",2,13.3,14.099999999999998,6.65,7.049999999999999,1.7243743076436346,0.66
381,Quentin Tarantino,"['tm41792', 'tm138905']",2,16.05,16.0,8.025,8.0,1.7243743076436346,0.8
382,Tom Hooper,"['tm32982', 'tm199700']",2,14.75,14.6,7.375,7.3,1.7243743076436346,0.74
383,Ben Affleck,['tm60292'],1,7.5,7.6,7.5,7.6,0.0,0.75
384,Jennifer Yuh Nelson,"['tm171885', 'tm120108']",2,14.05,15.4,7.025,7.7,1.7243743076436346,0.7
385,Steven Soderbergh,"['tm158304', 'tm428557', 'tm428558']",3,18.8,19.4,6.266666666666667,6.466666666666666,2.9478373494331396,0.63
386,Baltasar Kormákur,"['tm36237', 'tm370212']",2,13.1,14.0,6.55,7.0,1.7243743076436346,0.66
387,Len Wiseman,['tm74848'],1,6.1,7.6,6.1,7.6,0.0,0.61
388,Raja Gosnell,"['tm168921', 'tm166628', 'tm330869']",3,16.099999999999998,19.5,5.366666666666666,6.5,2.9478373494331396,0.54
389,Sean McNamara,['tm160132'],1,7.05,7.0,7.05,7.0,0.0,0.7
390,Lisa Azuelos,['tm49592'],1,5.199999999999999,6.6000000000000005,5.199999999999999,6.6000000000000005,0.0,0.52
391,Jaume Collet-Serra,['tm167232'],1,6.75,7.7,6.75,7.7,0.0,0.68
392,Peter Ramsey,['tm38980'],1,7.300000000000001,7.5,7.300000000000001,7.5,0.0,0.73
393,Frank Coraci,"['tm69926', 'tm214825']",2,11.3,13.7,5.65,6.85,1.7243743076436346,0.57
394,Toshiyuki Kubooka,"['tm60844', 'tm38064', 'tm167944']",3,22.75,18.4,7.583333333333333,6.133333333333333,2.9478373494331396,0.76
395,Keishi Ōtomo,"['tm62210', 'tm855075', 'tm858000']",3,22.65,19.6,7.55,6.533333333333334,2.9478373494331396,0.76
396,Dan Rush,['tm106278'],1,6.25,6.4,6.25,6.4,0.0,0.62
397,Hwang Dong-hyuk,"['tm182586', 'tm145791', 'tm305112']",3,22.05,16.8,7.35,5.6000000000000005,2.9478373494331396,0.74
398,Scott Spiegel,['tm178395'],1,5.25,5.699999999999999,5.25,5.699999999999999,0.0,0.52
399,Mikael Håfström,"['tm173195', 'tm983270']",2,11.95,14.2,5.975,7.1,1.7243743076436346,0.6
400,Dustin Hoffman,['tm69386'],1,6.65,6.0,6.65,6.0,0.0,0.66
401,Sarah Smith,['tm174683'],1,6.9,6.800000000000001,6.9,6.800000000000001,0.0,0.69
